2023-04-09 17:52:10,842 INFO  [restartedMain] com.dh.digitalBooking.DigitalBookingApplication : Starting DigitalBookingApplication using Java 17.0.6 with PID 6352 (/home/denis/Área de Trabalho/digitalBooking/grupo-5/backEnd/digitalBooking/target/classes started by denis in /home/denis/Área de Trabalho/digitalBooking/grupo-5/backEnd/digitalBooking)
2023-04-09 17:52:10,880 DEBUG [restartedMain] com.dh.digitalBooking.DigitalBookingApplication : Running with Spring Boot v3.0.2, Spring v6.0.4
2023-04-09 17:52:10,882 INFO  [restartedMain] com.dh.digitalBooking.DigitalBookingApplication : No active profile set, falling back to 1 default profile: "default"
2023-04-09 17:52:11,192 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-04-09 17:52:11,199 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-04-09 17:52:13,558 INFO  [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-04-09 17:52:13,813 INFO  [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 235 ms. Found 10 JPA repository interfaces.
2023-04-09 17:52:15,374 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8080 (http)
2023-04-09 17:52:15,395 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2023-04-09 17:52:15,396 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.5]
2023-04-09 17:52:15,496 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2023-04-09 17:52:15,497 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4296 ms
2023-04-09 17:52:16,428 INFO  [restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2023-04-09 17:52:17,344 INFO  [restartedMain] com.zaxxer.hikari.pool.HikariPool : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5af65e9f
2023-04-09 17:52:17,348 INFO  [restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2023-04-09 17:52:17,643 INFO  [restartedMain] SQL dialect : HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2023-04-09 17:52:20,277 INFO  [restartedMain] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-04-09 17:52:20,922 DEBUG [restartedMain] com.dh.digitalBooking.security.FilterToken : Filter 'filterToken' configured for use
2023-04-09 17:52:22,142 WARN  [restartedMain] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-04-09 17:52:23,264 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain : Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@18272a06, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5bd28755, org.springframework.security.web.context.SecurityContextHolderFilter@338f45de, org.springframework.security.web.header.HeaderWriterFilter@4babc230, org.springframework.web.filter.CorsFilter@33542113, org.springframework.security.web.authentication.logout.LogoutFilter@4eed6b24, com.dh.digitalBooking.security.FilterToken@602b60d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@e5d332f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@63a089f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6e38a797, org.springframework.security.web.session.SessionManagementFilter@279ed98e, org.springframework.security.web.access.ExceptionTranslationFilter@6c7fc6db, org.springframework.security.web.access.intercept.AuthorizationFilter@4430e0cf]
2023-04-09 17:52:23,617 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2023-04-09 17:52:23,667 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port(s): 8080 (http) with context path ''
2023-04-09 17:52:23,686 INFO  [restartedMain] com.dh.digitalBooking.DigitalBookingApplication : Started DigitalBookingApplication in 14.345 seconds (process running for 16.316)
2023-04-09 17:52:41,710 INFO  [SpringApplicationShutdownHook] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2023-04-09 17:52:41,716 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2023-04-09 17:52:41,768 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
